Sentence 1	Sentence 2	Total score
Không giống như nhiều công ty Internet giai đoạn đầu, người ta tin Google sẽ có lãi	Các tổ chức tư nhân của Google được cho là có lợi nhuận	3.6
Sẽ an toàn khi cho rằng Thượng viện chuẩn bị thông qua một số hình thức giới hạn, King nói	an toàn của nó để giả Thượng viện sẵn sàng để vượt qua một số hình thức Mức độ của nó là để được tranh luận	3.0
Và khi được hỏi liệu anh ta có cảm thấy hối hận hay tội lỗi về cuộc tấn công không, câu trả lời của anh ta là một từ không	Khi được hỏi liệu ông cảm thấy bất kỳ hối tiếc về theOctober 12 tấn công, câu trả lời kiên quyết không	3.8
Một công ty lớn khác là Rambus Inc Nasdaq RMBS  tin tức  người, đã vượt cao hơn 32 phần trăm	Rambus Inc NASDAQ RMBS  tin tức  người tăng vọt lên 38 phần trăm, khiến nó trở thành tăng mạnh tỷ lệ lớn nhất trên sàn Nasdaq	3.0
Russ Britt là Giám đốc Văn phòng Los Angeles cho CBSMarketWatchcom	Emily Giáo Hội là London trưởng văn phòng CBSMarketWatchcom	1.8
Nếu bạn vượt qua dự luật này, Big Brother sẽ theo dõi bạn, Rep nói John Mabry, DWaco	Nếu bạn vượt qua dự luật này, Đại diện John Mabry Jr, DWaco, nói với các đồng nghiệp, Big Brother sẽ để mắt tới	4.8
Douglas Robinson, một phó chủ tịch tài chính cấp cao, sẽ đảm nhiệm vị trí giám đốc tài chính tạm thời	Douglas Robinson, phó chủ tịch cấp cao của CA, tài chính, sẽ lấp đầy vị trí trong thời gian tới	3.8
INTEL TODAY tiết lộ chi tiết về bộ xử lý XScale thế hệ tiếp theo dành cho điện thoại di động và thiết bị cầm tay tại San Jose	Intel vào hôm thứ Tư cho ra mắt bộ xử lý thế hệ mới cho điện thoại di động, PDAs, và các thiết bị không dây	3.6
Một số tiểu bang và chính phủ liên bang sau đó đã thông qua các lệnh cấm tương tự hoặc nghiêm ngặt hơn	Dưới sự chỉ dẫn của California, một số tiểu bang và chính phủ liên bang đã thông qua lệnh cấm tương tự hoặc khó khăn hơn	4.0
Tuy nhiên, ông lưu ý Miami phải quyết định có nên tìm kiếm thành viên ACC cho năm học tới vào ngày 30 tháng 6 để tuân thủ các nguyên tắc của Big East hay không	Tuy nhiên, ông lưu ý rằng Miami phải quyết định xem có nên tìm ACC thành viên ngày 30 tháng Sáu để tuân thủ nguyên tắc Big Đông	4.6
Ông từ chối tiết lộ có bao nhiêu phần trăm các chuyến bay mang theo không cảnh, hoặc liệu chúng có được tăng lên không	Ông từ chối nói bao nhiêu phần trăm chuyến bay nội địa có nhân viên an ninh trên máy bay	3.8
Doanh thu cho The Hulk thấp hơn nhiều so với phim chuyển thể của  Marvel Comics tháng trước, X2 XMen United, đã thu về 85,6 triệu đô la vào cuối tuần đầu	The Hulk kéo tháng trước Marvel Comics thích ứng, X2 XMen United, mà thu về $ 856 triệu trong tuần đầu công chiếu	4.8
Cổ phiếu của Littleton, EchoStar có trụ sở tại Colorado đã tăng 1,63 đô la, tương đương 5,3%, lên 32,26 đô la lúc 1055 sáng	Hôm thứ Hai, EchoStar DISH tin tức, biểu đồ, hồ sơ cổ phiếu sụt giảm $ 140, hoặc 4,4%, xuống còn $ 30,63	2.0
Chữ ký hợp lệ của 897158 cử tri California đã đăng ký phải được thu thập và chuyển cho các quan chức bầu cử quận vào ngày 2 tháng 9	Để buộc một cuộc bầu cử hồi của Davis, chữ ký hợp lệ của 897158 cử tri đã đăng ký California phải được bật cho các quan chức bầu cử	3.2
Chỉ số chuẩn 10 năm chúng ta định 10YTRR 1132 mất giá, chiếm cong oăn dưới 321% từ 317% vào cuối ngày thứ Hai	Hơn nữa ra đường cong, điểm chuẩn 10 năm US10YT  RR đổ 1832 giá, lấy năng suất của nó đến 3,24% từ 3,17%	2.2
MDC đã gọi cuộc đình công để buộc ông Mugabe phải từ chức hoặc đàm phán giải quyết cuộc khủng hoảng ở Zimbabwe	MDC gọi cuộc biểu tình kéo dài một tuần để đôn đốc Mugabe hoặc phải từ chức hoặc để đàm phán một giải quyết cuộc khủng hoảng nắm đất nước	4.0
Tòa phúc thẩm vòng 6 của Hoa Kỳ hôm thứ Tư đã ra phán quyết rằng một đạo luật Ohio cấm một phương pháp phá thai muộn gây tranh cãi thông qua cơ quan lập hiến và nhà nước có thể thi hành nó	Một luật Ohio mà cấm nạn phá thai muộn hạn gây nhiều tranh cãi là hiến pháp có thể chấp nhận và nhà nước có thể thực thi nó, một tòa án phúc thẩm liên bang phán quyết ngày hôm qua	4.2
Chỉ số tổng hợp Nasdaq tăng 20,59, tương đương 1,3%, lên 1616,50, sau khi tăng 5,7% vào tuần trước	Chỉ số Nasdaq Composite Index công nghệ tẩm IXIC tăng 19,11 điểm, tương đương 1,2%, đạt mức1,61502	2.0
Chỉ số tổng hợp Nasdaq tăng 20,59, tương đương 1,3%, lên 1616,50, sau khi tăng 5,7% vào tuần trước	Chỉ số Nasdaq Composite Index công nghệ tẩm IXIC tăng 19,11 điểm, tương đương 1,2%, đạt mức1,61502	2.0
Chỉ số tổng hợp Nasdaq tăng 20,59, tương đương 1,3%, lên 1616,50, sau khi tăng 5,7% vào tuần trước	Chỉ số Nasdaq Composite Index công nghệ tẩm IXIC tăng 19,11 điểm, tương đương 1,2%, đạt mức1,61502	2.0
Doanh thu tăng 3,9%, đạt 1,63 tỷ USD từ 1,57 tỷ USD	Công ty McLean, Virginia cho biết doanh thu báo tăng 5 phần trăm đạt mức $ 1,46 tỷ	1.2
Vào tháng 1 năm 2000, máy tính xách tay chiếm chưa đến 25% khối lượng bán hàng	Cuộc so sánh với tháng giêng năm 2000, khi máy tính xách tay đại diện cho ít hơn 25% doanh số bán hàng, theo tập đoàn NPD	4.0
Guillermo Coria quốc tịch Argentina và Martin Verkerk quốc tịch Hà Lan ở nửa bên kia	Các trận bán kết khác giữa Guillermo Coria của Argentina và Martin Verkerk của Hà Lan cũng là hấp dẫn	3.0
Chỉ số tổng hợp Nasdaq tăng 19,67, tương đương 1,3%, lên 1523,71, cao nhất kể từ ngày 18 tháng 6	Chỉ số S  P 500 đã tăng 16% từ tháng thấp và ngày hôm qua của nó đóng cửa ở mức cao nhất kể từ ngày 02 tháng mười hai	0.8
Tôi có thể nói gì với bạn ông nói với một đám đông tại một nghĩa trang với hàng ngàn viên đá, nhiều trong số chúng đánh dấu các ngôi mộ của cả gia đình	Ông Powell nói với một đám đông tại một nghĩa trang với một ngàn bia mộ, nhiều trong số họ đánh dấu ngôi mộ của toàn bộ gia đình	2.8
Họ nói rằng họ đã kết luận rằng bộ phim đã thất bại thể hiện một vai diễn cân bằng của Reagans	CBS cho biết chương trình không trình bày một vai cân bằng của Reagans cho CBS cùng khán giả của mình	3.0
Chúng tôi sẽ làm mọi thứ trong khả năng của mình để lấy lại tiền cho những người trả tiền càng nhanh càng tốt, Kennedy nói	Có sự quan tâm rất mạnh mẽ trong việc tiền lại cho người nộp thuế càng nhanh càng tốt, Cao ủy Susan Kennedy nói	3.8
Cô chỉ có một điều kiện duy nhất, đó là cuốn sách không được xuất bản cho đến khi cô qua đời	Cô khẳng định, mặc dù, rằng nó không được công bố cho đến sau cái chết của cô	4.4
Những phát hiện được công bố trong ấn bản ngày 6 tháng 11 của tạp chí Nature	Cả hai nghiên cứu được công bố vào hôm thứ năm trên tạp chí Nature, người Anh hàng tuần trên tạp chí khoa học	2.6
